id,region,res1,res2,res3,res4,res5,res6
79,chicago,114,304,319,179,318,376
80,chicago,65,591,134,284,222,7
81,chicago,492,184,585,236,136,366
82,chicago,409,217,324,285,477,639
83,chicago,574,121,618,11,43,58
84,chicago,171,436,472,240,642,71
85,chicago,378,421,54,278,632,16
86,chicago,164,227,653,60,644,197
87,chicago,174,302,137,148,1,239
88,chicago,609,37,115,420,98,407
89,chicago,129,255,428,459,662,66
90,chicago,659,495,669,576,405,418
91,chicago,581,308,332,232,667,608
92,chicago,331,291,135,234,252,523
93,chicago,360,454,647,409,238,373
94,chicago,181,492,637,184,253,449
95,chicago,380,234,102,334,68,117
96,chicago,206,4,516,652,408,16
97,chicago,562,68,493,95,652,334
98,chicago,88,420,37,147,565,642
99,chicago,37,496,86,205,609,619
100,chicago,360,639,561,647,373,606
101,chicago,338,642,431,55,471,555
102,chicago,95,334,562,221,452,117
103,chicago,148,302,11,349,406,174
104,chicago,644,586,21,501,161,603
105,chicago,640,370,564,307,426,27
106,chicago,166,478,380,179,378,75
107,chicago,461,653,469,349,524,554
108,chicago,209,11,13,534,506,239
109,chicago,512,25,134,334,421,207
110,chicago,219,75,378,396,278,632
111,chicago,515,367,372,585,303,536
112,chicago,474,436,407,608,646,423
113,chicago,671,632,438,207,489,512
114,chicago,79,304,319,318,78,351
115,chicago,609,597,643,170,474,53
116,chicago,620,576,199,603,418,120
117,chicago,334,252,493,75,573,5
118,chicago,391,221,182,479,143,140
119,chicago,16,4,516,474,527,438
120,chicago,116,595,164,620,10,603
121,chicago,516,148,457,302,174,527
122,chicago,286,288,448,350,652,77
123,chicago,659,357,283,244,199,592
124,chicago,154,455,180,470,606,217
125,chicago,26,653,62,501,551,163
126,chicago,148,349,130,379,586,450
127,chicago,226,199,661,283,356,426
128,chicago,161,667,107,422,346,148
129,chicago,207,519,304,445,529,252
130,chicago,349,148,458,126,653,450
131,chicago,333,652,166,78,288,336
132,chicago,396,219,49,452,208,110
133,chicago,227,60,75,573,546,137
134,chicago,334,642,221,565,1,222
135,chicago,25,109,573,92,671,421
136,chicago,637,470,492,243,184,181
137,chicago,222,488,60,432,1,399
138,chicago,174,244,659,412,644,225
139,chicago,78,204,652,286,336,350
140,chicago,143,134,673,276,32,642
141,chicago,161,595,162,178,159,163
142,chicago,356,563,127,283,226,348
143,chicago,42,284,555,652,474,134
144,chicago,575,611,595,229,406,375
145,chicago,550,599,70,537,266,331
146,chicago,239,2,543,174,516,1
147,chicago,88,244,463,466,98,189
148,chicago,586,349,332,603,595,545
149,chicago,534,565,288,527,339,336
150,chicago,287,643,403,183,596,467
151,chicago,148,262,545,239,349,1
152,chicago,527,621,655,379,302,148
153,chicago,524,164,602,653,162,86
154,chicago,74,180,124,540,549,455
155,chicago,239,262,213,296,457,408
156,chicago,78,288,137,652,369,166
157,chicago,51,75,234,376,473,205
158,chicago,606,647,238,93,639,360
159,chicago,162,595,178,141,203,465
160,chicago,11,646,174,516,408,121
161,chicago,163,653,458,148,162,595
162,chicago,595,653,603,163,349,524
163,chicago,653,595,162,644,349,603
164,chicago,644,60,86,595,197,227
165,chicago,474,284,119,522,516,431
166,chicago,106,452,131,652,216,333
167,chicago,148,450,545,1,432,222
168,chicago,199,246,116,307,620,242
169,chicago,418,26,446,554,556,21
170,chicago,239,314,545,478,543,262
171,chicago,436,314,170,472,239,387
172,chicago,603,116,556,576,602,349
173,chicago,474,115,210,53,565,284
174,chicago,239,146,545,302,349,649
175,chicago,659,10,162,418,595,495
176,chicago,579,427,0,520,237,275
177,chicago,174,239,543,146,534,170
178,chicago,595,163,162,603,148,524
179,chicago,318,489,508,378,106,75
180,chicago,181,449,490,268,652,93
181,chicago,558,238,637,449,647,340
182,chicago,118,221,391,140,555,642
183,chicago,643,170,444,609,76,70
184,chicago,536,253,409,238,373,271
185,chicago,106,166,562,269,280,473
186,chicago,148,612,364,608,213,239
187,chicago,199,246,242,307,564,659
188,chicago,244,659,563,225,661,348
189,chicago,223,463,466,120,244,636
190,chicago,239,148,534,262,545,151
191,chicago,148,52,653,332,197,602
192,chicago,517,44,652,146,133,407
193,chicago,137,399,488,53,174,516
194,chicago,219,396,25,75,295,291
195,chicago,253,328,184,324,572,477
196,chicago,186,612,337,239,534,52
197,chicago,60,227,54,632,164,148
198,chicago,1,460,2,586,148,146
199,chicago,307,620,242,246,116,564
200,chicago,421,508,546,85,632,25
201,chicago,60,378,632,224,54,278
202,chicago,508,179,510,67,318,166
203,chicago,52,602,162,595,650,653
204,chicago,78,652,505,496,139,77
205,chicago,588,204,32,78,157,496
206,chicago,408,608,146,239,305,546
207,chicago,75,508,179,445,573,113
208,chicago,132,396,91,49,219,278
209,chicago,239,543,349,281,11,506
210,chicago,53,509,17,432,9,565
211,chicago,148,332,667,262,450,349
212,chicago,339,660,286,407,414,527
213,chicago,545,239,148,457,302,174
214,chicago,275,351,334,468,493,247
215,chicago,608,408,206,527,511,308
216,chicago,166,483,671,106,427,541
217,chicago,558,409,532,340,536,238
218,chicago,495,225,576,659,603,120
219,chicago,60,227,378,75,278,85
220,chicago,407,420,391,115,284,546
221,chicago,334,642,134,498,271,573
222,chicago,137,60,432,488,1,565
223,chicago,603,636,586,576,116,620
224,chicago,201,54,16,632,378,423
225,chicago,199,659,563,620,576,174
226,chicago,437,661,199,127,563,348
227,chicago,60,197,421,133,219,54
228,chicago,333,565,156,424,302,534
229,chicago,595,148,364,178,603,186
230,chicago,148,586,603,595,52,299
231,chicago,71,619,500,471,265,472
232,chicago,148,545,332,262,249,450
233,chicago,565,222,53,642,17,432
234,chicago,252,378,573,117,28,671
235,chicago,207,598,559,19,510,365
236,chicago,373,675,360,639,324,100
237,chicago,0,664,427,216,567,483
238,chicago,558,606,271,647,181,536
239,chicago,146,1,148,174,545,349
240,chicago,314,151,262,545,148,1
241,chicago,364,595,86,546,597,635
242,chicago,307,426,199,640,564,246
243,chicago,470,271,257,136,658,637
244,chicago,199,294,188,659,661,563
245,chicago,239,148,643,597,174,186
246,chicago,564,199,307,187,168,627
247,chicago,65,207,334,493,252,117
248,chicago,449,181,184,558,35,94
249,chicago,419,308,232,545,349,137
250,chicago,116,636,659,603,418,446
251,chicago,59,582,510,442,435,235
252,chicago,573,334,291,75,234,378
253,chicago,184,409,536,217,181,492
254,chicago,441,371,619,80,134,608
255,chicago,597,546,516,459,308,239
256,chicago,285,360,347,561,409,577
257,chicago,243,470,271,136,558,526
258,chicago,302,87,552,301,103,34
259,chicago,148,302,174,56,349,545
260,chicago,116,620,603,576,595,223
261,chicago,0,269,520,559,380,359
262,chicago,148,239,52,450,349,545
263,chicago,33,509,589,386,193,417
264,chicago,16,476,255,546,119,516
265,chicago,643,578,148,432,70,457
266,chicago,170,587,174,314,239,306
267,chicago,628,454,236,360,373,409
268,chicago,449,181,637,248,35,492
269,chicago,261,280,0,520,51,319
270,chicago,271,526,477,470,238,243
271,chicago,637,238,642,389,334,634
272,chicago,637,6,81,492,585,136
273,chicago,453,342,119,516,4,284
274,chicago,334,247,493,129,304,607
275,chicago,579,438,489,493,652,521
276,chicago,22,633,588,15,652,387
277,chicago,460,332,667,198,21,450
278,chicago,60,219,227,16,85,421
279,chicago,100,561,526,606,639,360
280,chicago,269,51,185,319,261,473
281,chicago,146,2,174,53,239,349
282,chicago,636,576,620,603,644,418
283,chicago,199,357,659,592,123,246
284,chicago,652,489,407,65,78,134
285,chicago,409,360,347,558,639,340
286,chicago,288,448,122,131,652,78
287,chicago,596,231,150,71,300,212
288,chicago,438,652,78,508,286,336
289,chicago,644,586,230,379,148,650
290,chicago,294,356,368,645,127,226
291,chicago,252,60,378,573,334,671
292,chicago,276,598,588,205,385,511
293,chicago,343,77,369,262,106,41
294,chicago,661,597,563,368,174,244
295,chicago,18,531,75,376,109,60
296,chicago,320,451,342,4,621,453
297,chicago,181,303,35,549,651,195
298,chicago,50,542,262,332,650,61
299,chicago,586,368,612,148,516,603
300,chicago,420,588,471,311,88,32
301,chicago,399,137,488,34,568,262
302,chicago,148,450,259,174,545,40
303,chicago,111,366,585,81,492,372
304,chicago,79,114,351,508,207,252
305,chicago,408,239,206,146,516,545
306,chicago,170,314,239,439,266,587
307,chicago,640,564,370,426,199,242
308,chicago,608,222,408,60,137,545
309,chicago,597,239,337,245,513,70
310,chicago,288,336,652,131,78,448
311,chicago,7,80,134,291,65,129
312,chicago,443,645,502,137,552,565
313,chicago,513,589,546,331,17,525
314,chicago,262,148,170,586,545,1
315,chicago,397,565,146,652,17,53
316,chicago,7,588,471,641,395,555
317,chicago,168,576,400,405,418,218
318,chicago,179,489,75,378,508,497
319,chicago,79,114,304,351,438,166
320,chicago,296,451,545,621,535,527
321,chicago,675,20,236,267,647,360
322,chicago,589,494,263,33,193,509
323,chicago,197,60,54,227,222,148
324,chicago,409,82,647,477,561,572
325,chicago,584,259,174,649,38,543
326,chicago,65,284,432,222,474,137
327,chicago,239,542,193,392,516,506
328,chicago,253,184,195,73,637,324
329,chicago,314,148,650,586,103,222
330,chicago,337,183,443,196,571,502
331,chicago,452,378,671,227,421,54
332,chicago,148,586,450,545,349,595
333,chicago,131,78,652,336,288,166
334,chicago,221,134,573,252,642,493
335,chicago,239,146,70,543,38,3
336,chicago,78,652,333,288,131,448
337,chicago,597,174,239,294,262,146
338,chicago,652,642,222,555,516,101
339,chicago,527,286,4,414,212,171
340,chicago,558,217,285,238,409,470
341,chicago,407,671,573,378,590,489
342,chicago,453,516,4,296,613,451
343,chicago,612,453,121,293,457,516
344,chicago,650,167,458,586,653,349
345,chicago,337,146,597,543,174,239
346,chicago,128,332,402,553,393,614
347,chicago,360,561,285,100,324,373
348,chicago,563,659,225,661,649,437
349,chicago,148,603,586,653,458,644
350,chicago,288,286,478,448,53,78
351,chicago,652,304,114,319,79,438
352,chicago,238,647,271,561,536,606
353,chicago,368,299,603,620,199,225
354,chicago,117,478,590,68,380,234
355,chicago,262,545,148,239,349,232
356,chicago,437,127,199,661,226,123
357,chicago,659,283,123,225,592,246
358,chicago,427,318,445,378,129,435
359,chicago,106,131,286,288,333,448
360,chicago,409,639,561,373,93,100
361,chicago,2,146,239,1,198,174
362,chicago,262,34,249,349,308,151
363,chicago,331,452,60,531,85,512
364,chicago,595,186,349,241,148,229
365,chicago,430,671,207,438,427,510
366,chicago,303,585,367,81,492,372
367,chicago,372,111,625,366,238,526
368,chicago,299,353,294,174,225,2
369,chicago,227,380,106,333,652,505
370,chicago,105,307,640,564,447,426
371,chicago,441,1,254,299,34,608
372,chicago,367,366,111,477,625,257
373,chicago,360,639,647,409,454,100
374,chicago,271,389,470,558,238,637
375,chicago,575,618,611,121,203,229
376,chicago,79,351,304,114,497,396
377,chicago,199,225,563,283,307,659
378,chicago,671,54,632,421,60,85
379,chicago,62,644,653,163,601,126
380,chicago,106,95,369,334,234,68
381,chicago,511,19,131,423,652,630
382,chicago,565,210,173,417,547,386
383,chicago,563,244,659,225,576,246
384,chicago,314,167,355,262,40,277
385,chicago,276,359,511,15,292,530
386,chicago,17,547,417,565,210,42
387,chicago,423,474,633,407,652,276
388,chicago,304,252,334,109,573,497
389,chicago,637,271,454,373,656,409
390,chicago,85,4,516,65,391,25
391,chicago,555,427,421,221,378,65
392,chicago,239,349,148,146,565,137
393,chicago,137,552,1,222,30,148
394,chicago,174,649,2,597,361,302
395,chicago,474,284,4,222,555,652
396,chicago,219,60,497,75,512,227
397,chicago,315,53,565,146,17,652
398,chicago,493,334,5,106,75,573
399,chicago,137,488,432,34,193,222
400,chicago,223,586,60,148,317,603
401,chicago,552,308,301,298,362,638
402,chicago,332,148,621,232,612,302
403,chicago,337,183,439,467,115,150
404,chicago,0,251,510,582,520,235
405,chicago,418,576,620,116,659,90
406,chicago,103,551,595,576,302,11
407,chicago,671,19,378,652,489,478
408,chicago,206,608,239,305,308,546
409,chicago,360,454,639,60,285,217
410,chicago,314,262,148,52,460,167
411,chicago,546,523,399,635,137,193
412,chicago,199,138,174,2,53,394
413,chicago,174,239,146,70,545,2
414,chicago,4,286,16,474,339,516
415,chicago,675,20,82,347,360,647
416,chicago,239,148,534,262,545,151
417,chicago,547,386,210,509,565,53
418,chicago,620,116,640,576,659,405
419,chicago,262,349,148,137,586,332
420,chicago,284,609,88,80,37,407
421,chicago,54,60,85,378,227,632
422,chicago,262,148,52,460,545,314
423,chicago,378,632,671,54,16,478
424,chicago,228,392,327,12,440,233
425,chicago,132,208,194,49,396,219
426,chicago,640,307,242,105,564,27
427,chicago,216,106,579,166,67,391
428,chicago,199,627,116,620,246,640
429,chicago,90,244,377,383,610,659
430,chicago,179,365,438,318,508,207
431,chicago,474,516,646,621,642,555
432,chicago,222,137,488,399,53,349
433,chicago,545,259,174,302,349,151
434,chicago,162,52,595,203,650,601
435,chicago,0,510,427,579,559,67
436,chicago,314,112,472,608,423,171
437,chicago,226,661,563,348,356,244
438,chicago,671,288,508,652,113,452
439,chicago,635,239,148,408,206,146
440,chicago,565,233,605,17,547,266
441,chicago,408,371,206,30,254,1
442,chicago,214,468,464,118,275,334
443,chicago,571,645,312,330,509,255
444,chicago,643,183,597,309,115,448
445,chicago,207,304,462,573,252,318
446,chicago,659,418,554,250,576,644
447,chicago,27,640,370,426,105,418
448,chicago,286,288,131,478,336,350
449,chicago,181,656,217,238,637,558
450,chicago,148,262,349,545,302,332
451,chicago,545,296,453,342,621,612
452,chicago,671,166,378,331,28,54
453,chicago,516,612,148,227,137,239
454,chicago,409,360,373,93,238,639
455,chicago,74,181,540,73,136,637
456,chicago,42,140,143,654,134,642
457,chicago,148,612,302,516,239,213
458,chicago,349,653,524,148,644,586
459,chicago,255,19,511,337,215,37
460,chicago,148,586,21,198,603,222
461,chicago,107,458,653,554,524,525
462,chicago,207,445,304,129,388,664
463,chicago,466,244,225,116,120,199
464,chicago,493,334,117,68,221,562
465,chicago,551,524,602,556,107,461
466,chicago,463,299,244,120,364,199
467,chicago,643,183,350,609,170,115
468,chicago,275,0,521,559,351,404
469,chicago,164,107,576,524,602,595
470,chicago,271,243,257,340,637,374
471,chicago,101,338,431,71,231,642
472,chicago,170,314,262,451,171,642
473,chicago,51,68,275,280,117,95
474,chicago,284,16,516,119,431,591
475,chicago,553,259,614,46,302,87
476,chicago,4,16,516,342,375,60
477,chicago,572,536,454,253,625,409
478,chicago,106,423,75,671,652,407
479,chicago,334,48,221,436,18,239
480,chicago,652,583,511,67,427,333
481,chicago,45,221,391,431,65,390
482,chicago,562,493,478,102,68,354
483,chicago,106,216,318,179,671,523
484,chicago,545,148,151,262,52,337
485,chicago,620,199,418,627,250,377
486,chicago,650,644,262,460,586,148
487,chicago,222,249,314,432,565,233
488,chicago,137,222,432,516,349,148
489,chicago,318,179,378,671,75,497
490,chicago,180,81,585,253,492,328
491,chicago,275,122,288,652,286,423
492,chicago,637,373,184,181,675,253
493,chicago,334,573,117,252,5,75
494,chicago,523,589,507,64,301,392
495,chicago,659,418,576,90,405,250
496,chicago,78,652,616,517,407,288
497,chicago,75,489,318,28,438,378
498,chicago,221,573,642,134,334,284
499,chicago,675,20,639,629,628,600
500,chicago,299,423,174,652,265,314
501,chicago,669,653,644,586,21,620
502,chicago,245,186,241,239,413,612
503,chicago,225,199,283,282,627,116
504,chicago,491,350,630,652,247,80
505,chicago,369,78,652,204,79,288
506,chicago,239,148,543,545,170,174
507,chicago,146,239,174,642,148,543
508,chicago,288,438,179,318,489,67
509,chicago,210,488,239,174,146,516
510,chicago,511,67,559,666,207,365
511,chicago,652,67,510,333,78,583
512,chicago,421,54,85,25,278,378
513,chicago,146,546,239,392,262,313
514,chicago,174,43,146,543,239,177
515,chicago,243,257,470,658,271,675
516,chicago,4,546,137,148,488,146
517,chicago,652,489,407,192,496,284
518,chicago,591,222,137,34,474,80
519,chicago,207,65,67,493,129,579
520,chicago,559,0,510,261,269,207
521,chicago,407,489,652,430,318,508
522,chicago,4,414,165,516,284,474
523,chicago,60,34,137,106,497,75
524,chicago,148,595,603,349,458,653
525,chicago,461,107,458,653,161,626
526,chicago,285,100,470,606,271,257
527,chicago,16,516,148,652,542,121
528,chicago,578,472,171,170,436,314
529,chicago,19,207,598,407,129,304
530,chicago,385,381,202,648,511,22
531,chicago,331,452,565,323,421,513
532,chicago,558,217,340,238,639,285
533,chicago,591,284,432,474,631,134
534,chicago,146,239,170,652,148,545
535,chicago,174,621,527,148,155,11
536,chicago,184,238,409,606,217,271
537,chicago,65,523,12,53,331,591
538,chicago,502,346,484,128,52,141
539,chicago,262,148,545,151,14,314
540,chicago,549,180,455,74,154,248
541,chicago,166,106,369,333,216,652
542,chicago,146,16,568,349,174,53
543,chicago,146,2,166,24,174,53
544,chicago,495,659,250,218,169,576
545,chicago,148,349,1,239,174,146
546,chicago,227,516,421,146,643,653
547,chicago,417,386,210,509,565,53
548,chicago,545,457,213,148,239,40
549,chicago,540,74,180,455,154,268
550,chicago,643,170,286,439,587,350
551,chicago,349,603,602,595,148,524
552,chicago,137,222,34,393,399,488
553,chicago,148,137,545,349,488,302
554,chicago,461,446,107,418,250,653
555,chicago,652,53,284,391,17,642
556,chicago,603,644,636,576,26,172
557,chicago,181,248,303,297,268,637
558,chicago,238,217,532,181,340,285
559,chicago,510,67,520,511,365,235
560,chicago,378,60,54,201,632,278
561,chicago,360,100,647,373,606,347
562,chicago,106,102,493,68,117,234
563,chicago,348,225,661,437,174,294
564,chicago,307,640,246,370,105,426
565,chicago,222,53,134,1,17,397
566,chicago,174,146,239,543,337,535
567,chicago,12,106,237,427,0,483
568,chicago,542,399,137,488,527,34
569,chicago,288,652,78,286,407,448
570,chicago,55,593,9,222,210,440
571,chicago,146,41,70,239,534,170
572,chicago,477,536,409,82,253,324
573,chicago,252,334,75,671,493,117
574,chicago,646,11,121,144,103,160
575,chicago,364,375,618,229,186,349
576,chicago,116,620,603,223,636,418
577,chicago,285,561,360,347,100,639
578,chicago,54,299,148,612,457,546
579,chicago,427,67,275,200,106,12
580,chicago,53,643,591,565,173,17
581,chicago,91,222,314,53,543,198
582,chicago,59,318,508,251,179,166
583,chicago,511,67,78,480,652,44
584,chicago,146,174,239,38,507,70
585,chicago,409,639,20,158,629,606
586,chicago,148,603,349,644,1,21
587,chicago,170,266,174,439,314,239
588,chicago,32,140,276,638,37,205
589,chicago,507,146,17,543,478,193
590,chicago,227,75,234,407,28,336
591,chicago,34,222,137,432,30,65
592,chicago,357,283,659,199,123,225
593,chicago,9,591,210,432,222,542
594,chicago,654,139,336,354,78,204
595,chicago,603,148,164,349,162,524
596,chicago,287,231,150,71,300,212
597,chicago,174,337,294,244,239,394
598,chicago,19,207,529,235,407,318
599,chicago,622,334,315,452,117,145
600,chicago,675,373,236,257,389,492
601,chicago,379,137,488,163,653,60
602,chicago,349,603,595,524,653,191
603,chicago,586,644,595,349,148,576
604,chicago,249,362,419,453,308,402
605,chicago,233,565,440,642,392,53
606,chicago,238,360,100,561,373,536
607,chicago,65,80,247,109,291,334
608,chicago,408,308,206,546,635,186
609,chicago,115,53,597,170,643,350
610,chicago,244,661,356,199,437,377
611,chicago,644,603,299,620,636,407
612,chicago,148,299,186,453,457,621
613,chicago,516,4,119,16,342,146
614,chicago,302,450,40,332,667,553
615,chicago,595,603,576,586,120,162
616,chicago,336,652,496,156,78,333
617,chicago,174,302,87,152,574,422
618,chicago,575,349,11,457,148,213
619,chicago,254,206,408,441,371,231
620,chicago,116,418,199,640,576,307
621,chicago,612,148,527,52,457,262
622,chicago,599,106,397,478,166,77
623,chicago,498,607,45,118,182,221
624,chicago,350,286,448,80,122,591
625,chicago,454,238,217,477,558,658
626,chicago,524,653,458,10,595,659
627,chicago,199,105,307,640,428,246
628,chicago,639,373,236,675,20,492
629,chicago,639,20,585,409,285,389
630,chicago,652,286,448,131,333,119
631,chicago,591,34,284,474,533,432
632,chicago,54,378,671,421,60,85
633,chicago,652,387,423,407,474,276
634,chicago,271,184,373,606,238,639
635,chicago,146,239,608,174,148,206
636,chicago,576,603,223,620,644,586
637,chicago,271,181,389,136,184,642
638,chicago,588,255,264,16,459,662
639,chicago,409,360,373,100,561,647
640,chicago,105,307,426,27,564,370
641,chicago,25,85,421,512,109,573
642,chicago,221,134,334,673,17,565
643,chicago,146,2,299,53,239,174
644,chicago,164,603,586,653,349,148
645,chicago,337,255,443,609,312,392
646,chicago,431,423,11,160,474,222
647,chicago,238,561,360,373,271,639
648,chicago,385,275,276,633,598,359
649,chicago,174,349,348,653,542,563
650,chicago,586,52,148,262,644,603
651,chicago,557,449,297,73,74,637
652,chicago,78,288,336,671,438,489
653,chicago,349,458,644,163,603,586
654,chicago,642,673,17,565,222,432
655,chicago,152,52,337,597,621,527
656,chicago,238,389,93,449,217,181
657,chicago,30,332,545,262,151,148
658,chicago,238,558,271,606,181,637
659,chicago,418,225,357,199,576,116
660,chicago,52,197,527,146,30,196
661,chicago,226,563,437,244,199,294
662,chicago,255,443,229,196,342,375
663,chicago,643,294,368,239,170,115
664,chicago,0,365,430,207,462,237
665,chicago,412,163,38,70,281,460
666,chicago,67,559,365,510,207,583
667,chicago,148,450,302,332,40,545
668,chicago,579,173,275,210,537,382
669,chicago,644,501,586,659,349,653
670,chicago,202,247,468,351,334,442
671,chicago,378,632,407,438,54,227
672,chicago,121,144,364,229,375,575
673,chicago,642,134,565,221,654,334
674,chicago,200,25,512,85,421,65
675,chicago,236,373,20,492,647,285
0,los_angeles,229,597,595,575,148,262
1,los_angeles,558,181,606,492,238,158
2,los_angeles,227,60,523,573,133,75
3,los_angeles,333,598,67,19,643,131
4,los_angeles,241,434,595,364,597,309
5,los_angeles,529,533,432,88,631,37
6,los_angeles,586,669,644,349,603,653
7,los_angeles,659,418,495,250,383,90
8,los_angeles,639,606,373,184,585,100
9,los_angeles,174,507,60,137,227,635
10,los_angeles,407,597,635,595,364,241
11,los_angeles,586,603,466,650,299,595
12,los_angeles,496,517,407,343,652,113
13,los_angeles,64,546,523,613,411,542
14,los_angeles,327,193,239,419,392,249
15,los_angeles,223,503,225,563,383,116
16,los_angeles,227,378,106,523,489,521
17,los_angeles,407,671,67,19,541,179
18,los_angeles,620,368,619,371,353,169
19,los_angeles,4,643,284,476,286,115
20,los_angeles,78,333,652,511,131,630
21,los_angeles,284,507,488,34,568,146
22,los_angeles,186,608,337,262,597,239
23,los_angeles,174,337,597,148,602,52
24,los_angeles,11,618,103,108,209,601
25,los_angeles,294,428,226,437,661,337
26,los_angeles,174,507,146,543,433,148
27,los_angeles,227,60,399,453,568,148
28,los_angeles,60,523,493,334,259,398
29,los_angeles,432,608,222,591,137,308
30,los_angeles,635,2,545,30,239,441
31,los_angeles,409,238,454,360,558,656
32,los_angeles,235,114,79,304,67,508
33,los_angeles,227,407,52,597,595,86
34,los_angeles,420,255,443,98,609,382
35,los_angeles,360,558,373,625,409,656
36,los_angeles,288,343,78,204,569,652
37,los_angeles,639,492,373,637,217,271
38,los_angeles,148,586,332,262,46,595
39,los_angeles,586,650,289,644,148,595
40,los_angeles,403,337,596,150,587,612
41,los_angeles,163,667,608,308,595,148
42,los_angeles,116,620,199,503,405,223
43,los_angeles,608,308,239,488,408,650
44,los_angeles,108,160,308,608,209,11
45,los_angeles,53,432,222,565,134,488
46,los_angeles,179,318,67,508,407,79
47,los_angeles,219,227,25,421,54,60
48,los_angeles,420,609,88,37,643,183
49,los_angeles,126,148,16,586,130,650
50,los_angeles,223,501,586,169,383,576
51,los_angeles,284,478,134,642,53,652
52,los_angeles,492,238,409,449,558,360
53,los_angeles,644,586,2,669,21,501
54,los_angeles,170,1,349,2,174,151
55,los_angeles,212,596,183,150,403,467
56,los_angeles,151,457,320,190,506,332
57,los_angeles,512,546,278,200,227,421
58,los_angeles,197,29,227,60,56,201
59,los_angeles,227,60,523,489,179,318
60,los_angeles,148,302,545,450,262,314
61,los_angeles,486,277,1,2,198,394
62,los_angeles,308,227,60,608,64,546
63,los_angeles,360,285,625,606,656,558
64,los_angeles,508,19,179,318,529,114
65,los_angeles,133,227,52,60,407,523
66,los_angeles,314,439,170,643,296,436
67,los_angeles,409,454,217,492,625,181
68,los_angeles,149,266,240,84,384,500
69,los_angeles,546,642,227,134,652,17
70,los_angeles,516,148,126,667,392,450
71,los_angeles,294,146,597,643,368,244
72,los_angeles,284,478,474,4,395,53
73,los_angeles,2,148,423,644,643,642
74,los_angeles,146,227,148,507,4,133
75,los_angeles,609,255,98,311,382,443
76,los_angeles,527,197,227,133,60,597
77,los_angeles,53,222,432,284,488,474
78,los_angeles,141,161,241,144,597,595
79,los_angeles,603,586,608,299,368,597
80,los_angeles,65,512,284,25,474,75
81,los_angeles,661,127,226,294,563,225
82,los_angeles,222,432,53,17,474,591
83,los_angeles,636,246,282,576,223,402
84,los_angeles,407,164,478,349,350,448
85,los_angeles,4,153,19,586,349,636
86,los_angeles,148,262,343,612,621,545
87,los_angeles,148,60,612,621,545,453
88,los_angeles,507,24,44,543,133,146
89,los_angeles,474,448,423,286,284,652
90,los_angeles,227,156,60,523,278,197
91,los_angeles,226,356,437,175,127,661
92,los_angeles,453,342,273,419,604,327
93,los_angeles,137,30,34,11,13,516
94,los_angeles,318,75,179,133,252,489
95,los_angeles,337,551,349,309,308,262
96,los_angeles,586,644,1,349,2,650
97,los_angeles,238,658,558,449,217,389
98,los_angeles,643,578,528,314,170,52
99,los_angeles,78,288,652,448,336,286
100,los_angeles,225,659,357,620,503,218
101,los_angeles,474,591,314,487,4,432
102,los_angeles,597,661,127,244,241,294
103,los_angeles,349,516,488,563,545,239
104,los_angeles,432,609,591,222,137,53
105,los_angeles,128,433,346,191,174,413
106,los_angeles,612,197,52,644,60,148
107,los_angeles,75,318,227,133,60,489
108,los_angeles,223,164,586,644,603,636
109,los_angeles,78,652,288,569,448,478
110,los_angeles,262,527,148,612,450,302
111,los_angeles,284,605,273,498,453,565
112,los_angeles,620,418,659,116,199,246
113,los_angeles,350,432,170,591,314,339
114,los_angeles,86,595,626,364,186,612
115,los_angeles,223,120,244,466,636,299
116,los_angeles,1,277,545,371,171,460
117,los_angeles,434,406,159,141,241,144
118,los_angeles,163,161,148,126,595,458
119,los_angeles,78,115,284,652,37,609
120,los_angeles,31,86,465,337,597,99
121,los_angeles,227,197,60,643,294,148
122,los_angeles,609,115,420,598,597,19
123,los_angeles,578,528,439,436,403,621
124,los_angeles,545,40,146,332,302,148
125,los_angeles,644,595,603,586,148,612
126,los_angeles,432,565,642,134,53,222
127,los_angeles,170,148,314,621,171,423
128,los_angeles,454,625,373,372,656,367
129,los_angeles,148,332,152,262,422,402
130,los_angeles,449,656,217,181,238,558
131,los_angeles,636,586,148,223,603,595
132,los_angeles,546,64,227,61,507,589
133,los_angeles,423,432,2,53,222,652
134,los_angeles,106,166,369,207,380,505
135,los_angeles,75,79,489,179,318,452
136,los_angeles,519,67,176,427,275,668
137,los_angeles,620,250,377,225,659,357
138,los_angeles,60,227,197,219,75,632
139,los_angeles,418,225,223,563,659,503
140,los_angeles,400,246,47,370,168,627
141,los_angeles,371,527,2,644,394,402
142,los_angeles,28,489,75,497,438,318
143,los_angeles,609,170,183,643,337,196
144,los_angeles,644,501,371,653,611,603
145,los_angeles,407,75,378,671,5,489
146,los_angeles,241,52,527,375,379,542
147,los_angeles,75,590,336,497,78,478
148,los_angeles,516,4,146,563,597,434
149,los_angeles,546,227,642,134,284,439
150,los_angeles,498,75,227,219,284,60
151,los_angeles,356,294,142,428,563,290
152,los_angeles,259,314,439,56,148,170
153,los_angeles,227,318,452,60,75,632
154,los_angeles,350,478,630,423,286,652
155,los_angeles,19,598,359,131,333,318
156,los_angeles,10,148,620,227,246,164
157,los_angeles,338,432,53,284,591,474
158,los_angeles,323,219,438,421,49,531
159,los_angeles,620,10,603,644,223,576
160,los_angeles,489,75,452,318,28,179
